,Gene1,Gene2,Keywords,Direct dependency relations,INO Type,INO ID,Num. Keywords,Sentence
11,FtsZ,SpoIIE,"localization, dependent","nsubj(dependent, Localization)",regulation of protein location,INO_0000031,2,Localization of SpoIIE was shown to be dependent on the essential cell division protein FtsZ.
13,sigma(H),spoVG,"dependent, expression","amod(expression, dependent)",gene expression regulation,INO_0000044,2,"In the shaA mutant, sigma(H)-dependent expression of spo0A and spoVG at an early stage of sporulation was sensitive to external NaCl."
14,sigma(F),rsfA,"expression, control","nsubj(control, expression)",gene expression regulation,INO_0000044,2,The expression of rsfA is under the control of both sigma(F) and sigma(G).
17,gerE,cwlH,"expression, depended",-1,gene expression regulation,INO_0000044,2,Expression of the sigma(K)-dependent cwlH gene depended on gerE.
20,sigmaB,katX,"dependent, promoters","amod(promoters, sigmaF-dependent)",promoter-based regulation of transcription ,INO_0000079,2,"The -10 and -35 sequences of the sigmaB- and sigmaF-dependent promoters of katX overlap, and the transcriptional start points used by EsigmaB and EsigmaF differ by only one nucleotide."
21,sigmaF,katX,"dependent, promoters","amod(promoters, sigmaF-dependent)",promoter-based regulation of transcription ,INO_0000079,2,"The -10 and -35 sequences of the sigmaB- and sigmaF-dependent promoters of katX overlap, and the transcriptional start points used by EsigmaB and EsigmaF differ by only one nucleotide."
22,sigmaB,katX,dependent,ONE WORD,gene expression regulation,INO_0000044,1,"We demonstrated that katX is also a sigmaB-dependent general stress gene, since it is strongly induced by heat, salt and ethanol stress, as well as by energy depletion."
23,SpoIIE,sigmaF,"control, activation","nmod:of(control, activation)",regulation of gene activation,INO_0000037,2,"Taken together, the results support the idea that sequestration of SpoIIE protein into the prespore plays an important role in the control of sigmaF activation and in coupling this activation to septation."
25,SpoIIAA,sigmaF,controlled,ONE WORD,controling,INO_0000057,1,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form."
26,SpoIIE,sigmaF,controlled,ONE WORD,controling,INO_0000057,1,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form."
27,SpoIIE,SpoIIAA,"converts, active",-1,regulation of gene activation,INO_0000037,2,"sigmaF is controlled by a regulatory cascade involving an anti-sigma factor, SpoIIAB, an anti-anti-sigma factor, SpoIIAA, and a membrane-bound phosphatase, SpoIIE, which converts the inactive, phosphorylated form of SpoIIAA back to the active form."
28,SigL,rocG,transcribed,ONE WORD,gene transcription,INO_0000173,1,"The rocG gene of Bacillus subtilis, encoding a catabolic glutamate dehydrogenase, is transcribed by SigL-containing RNA polymerase and requires for its expression RocR, a member of the NtrC/NifA family of proteins that bind to enhancer-like elements, called upstream activating sequences (UAS)."
32,E sigma E,yfhS,transcribed,ONE WORD,regulation of transcription,INO_0000032,1,Northern blot and primer extension analyses indicated that yfhS is transcribed by E sigma E during sporulation.
33,YfhP,yfhQ,"negative regulator, transcription","nmod:for(regulator, transcription); amod(regulator, negative)",negative regulation of transcription,INO_0000074,2,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP."
34,YfhP,yfhR,"negative regulator, transcription","nmod:for(regulator, transcription); amod(regulator, negative)",negative regulation of transcription,INO_0000074,2,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP."
35,YfhP,sspE,"negative regulator, transcription","nmod:for(regulator, transcription); amod(regulator, negative)",negative regulation of transcription,INO_0000074,2,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP."
36,YfhP,yfhP,"negative regulator, transcription","nmod:for(regulator, transcription); amod(regulator, negative)",negative regulation of transcription,INO_0000074,2,"These results suggest that YfhP may act as a negative regulator for the transcription of yfhQ, yfhR, sspE and yfhP."
37,sigmaK,Spo0A,"production, affect","nsubj(affect, production)",gene expression regulation,INO_0000044,2,"Production of sigmaK about 1 h earlier than normal does affect Spo0A, which when phosphorylated is an activator of sigE transcription."
38,Spo0A,sigE,"phosphorylated, activator, transcription",MORE THAN TWO KEYWORDS,activation of gene transcription by phosphorylated protein,INO_0000081,3,"Production of sigmaK about 1 h earlier than normal does affect Spo0A, which when phosphorylated is an activator of sigE transcription."
39,sigmaA,ald,"promoter, recognized","nsubjpass(recognized, promoter)",promoter-based regulation of transcription,INO_0000079,2,"The ald promoter, like the sigE promoter, is believed to be recognized by sigmaA RNA polymerase, suggesting that sigmaK may inhibit sigmaA activity late in sporulation."
40,sigmaA,sigE,"promoter, recognized","nsubjpass(recognized, promoter)",promoter-based regulation of transcription,INO_0000079,2,"The ald promoter, like the sigE promoter, is believed to be recognized by sigmaA RNA polymerase, suggesting that sigmaK may inhibit sigmaA activity late in sporulation."
41,sigmaK,sigmaA,"inhibit, activity","dobj(inhibit, activity)",inhibition of protein activity,INO_0000070,2,"The ald promoter, like the sigE promoter, is believed to be recognized by sigmaA RNA polymerase, suggesting that sigmaK may inhibit sigmaA activity late in sporulation."
42,sigmaK,sigE,"expression, negatively regulated","nsubjpass(regulated, expression); advmod(regulated, negatively)",negative regulation of gene expression,INO_0000039,2,"In the mother cell compartment of sporulating cells, expression of the sigE gene, encoding the earlier-acting sigma factor, sigmaE, is negatively regulated by the later-acting sigma factor, sigmaK."
43,FtsZ,SpoIIE,depends,ONE WORD,regulation,INO_0000157,1,"The first stage, which involves the phosphatase function of SpoIIE, depends on the cell division protein FtsZ and could correspond to the FtsZ-dependent assembly of SpoIIE into E-rings."
44,FtsZ,SpoIIE,"dependent, assembly","amod(assembly, FtsZ-dependent)",regulation of assembly,INO_0000100,2,"The first stage, which involves the phosphatase function of SpoIIE, depends on the cell division protein FtsZ and could correspond to the FtsZ-dependent assembly of SpoIIE into E-rings."
45,SpoIIE,SpoIIAA,blocks,ONE WORD,inhibition,INO_0000124,1,Evidence based on the use of modified and mutant forms of the phosphatase protein indicates that SpoIIE blocks the capacity of unphosphorylated SpoIIAA to activate sigmaF until formation of the polar septum is completed.
46,SpoIIAA,sigmaF,activate,ONE WORD,activation,INO_0000024,1,Evidence based on the use of modified and mutant forms of the phosphatase protein indicates that SpoIIE blocks the capacity of unphosphorylated SpoIIAA to activate sigmaF until formation of the polar septum is completed.
47,SpoIIE,sigmaF,"activation, requires","nsubj(requires, activation)
",regulation of gene activation,INO_0000037,2,Cell-specific activation of transcription factor sigmaF during sporulation in Bacillus subtilis requires the formation of the polar septum and the activity of a serine phosphatase (SpoIIE) located in the septum.
48,SpoIIE,SpoIIAA-P,dephosphorylating,ONE WORD,dephosphorylation reaction,MI:0203,1,The SpoIIE phosphatase indirectly activates sigmaF by dephosphorylating a protein (SpoIIAA-P) in the pathway that controls the activity of the transcription factor.
49,SpoIIE,sigmaF,activates,ONE WORD,activation,INO_0000024,1,The SpoIIE phosphatase indirectly activates sigmaF by dephosphorylating a protein (SpoIIAA-P) in the pathway that controls the activity of the transcription factor.
50,SpoIIAA-P,sigmaF,"controls, activity","dobj(controls, activity)",regulation of protein activity,INO_0000055,2,The SpoIIE phosphatase indirectly activates sigmaF by dephosphorylating a protein (SpoIIAA-P) in the pathway that controls the activity of the transcription factor.
52,sigmaB,bmrUR,control,ONE WORD,controling,INO_0000057,1,(i) The finding that the bmrUR operon is under sigmaB control indicates that the elimination of multidrug compounds might be a new function in multiple stress resistance.
53,sigmaB,ydaP,dependent,ONE WORD,gene expression regulation,INO_0000044,1,"The ydaP gene might belong to the increasing number of sigmaB-dependent genes whose orthologues are under the control of sigmas in Escherichia coli, indicating that both regulons may fulfil similar functions."
54,sigmaB,ydaE,dependent,ONE WORD,gene expression regulation,INO_0000044,1,"Three new sigmaB-dependent genes (ydaE, ydaG and yfkM) encoding proteins with still unknown functions were also described."
56,sigmaB,yfkM,dependent,ONE WORD,gene expression regulation,INO_0000044,1,"Three new sigmaB-dependent genes (ydaE, ydaG and yfkM) encoding proteins with still unknown functions were also described."
57,SpoIIE,sigma F,"activated, action","nmod:through(activated, action)",gene activation,INO_0000075,2,"Cell specificity is first established in the forespore under the control of the sigma F factor, which is itself activated through the action of the SpoIIE serine phosphatase, an enzyme targeted to the septum between the two cells."
58,sigmaK,cot,transcribed,ONE WORD,gene transcription,INO_0000173,1,"Most cot genes, and the gerE gene, are transcribed by sigmaK RNA polymerase."
59,sigmaK,gerE,transcribed,ONE WORD,gene transcription,INO_0000173,1,"Most cot genes, and the gerE gene, are transcribed by sigmaK RNA polymerase."
60,GerE,sigK,"inhibits, transcription","dobj(inhibits, transcription)",inhibition of gene transcription,INO_0000046,2,"Previously, it was shown that the GerE protein inhibits transcription in vitro of the sigK gene encoding sigmaK."
61,sigmaK,gerE,"dependent, transcription","amod(transcription-6, sigmaK-dependent-5)",regulation of transcription,INO_0000032,2,These results demonstrate that sigmaK-dependent transcription of gerE initiates a negative feedback loop in which GerE acts as a repressor to limit production of sigmaK.
62,GerE,sigmaK,"repressor, limit production","acl(repressor, limit); dobj(limit, production)
",inhibition of gene transcription,INO_0000046,2,These results demonstrate that sigmaK-dependent transcription of gerE initiates a negative feedback loop in which GerE acts as a repressor to limit production of sigmaK.
63,GerE,sigmaK,"activated, transcription","dobj(activated, transcription)",regulation of transcription,INO_0000032,2,"A low level of GerE activated transcription of cotD by sigmaK RNA polymerase in vitro, but a higher level of GerE repressed cotD transcription."
64,GerE,cotD,"low level, activated, transcription",MORE THAN TWO KEYWORDS,activation of gene transcription by low level protein,INO_0000052,3,"A low level of GerE activated transcription of cotD by sigmaK RNA polymerase in vitro, but a higher level of GerE repressed cotD transcription."
65,sigmaK,cotD,transcription,ONE WORD,regulation of transcription,INO_0000032,1,"A low level of GerE activated transcription of cotD by sigmaK RNA polymerase in vitro, but a higher level of GerE repressed cotD transcription."
67,GerE,sigK,"binds, transcriptional, act, repressor",MORE THAN TWO KEYWORDS,negative regulation of gene transcription,INO_0000042,4,"Here, we show that GerE binds near the sigK transcriptional start site, to act as a repressor."
68,GerE,cotD,"binds, promoter",-1,regulation of transcription by binding to promoter,INO_0000071,2,We show that GerE binds to two sites that span the -35 region of the cotD promoter.
69,GerE,cotD,"activate, transcription, repress, transcription","dobj(activate, transcription);  advmod(transcription, repress)",regulation of transcription,INO_0000032,2 (2 events with two keywords each),These results suggest that a rising level of GerE in sporulating cells may first activate cotD transcription from the upstream site then repress transcription as the downstream site becomes occupied.
70,GerE,sspG,"transcription, requires","nsubj(requires,transcription); 
",regulation of transcription,INO_0000032,2,sspG transcription also requires the DNA binding protein GerE.
71,sigmaG,sspJ,transcribed,ONE WORD,gene transcription,INO_0000173,1,"In contrast, sspJ is transcribed in the forespore compartment by RNA polymerase with the forespore-specific sigmaG and appears to give a monocistronic transcript."
72,ComK,FlgM,"stimulating, transcription","dobj(stimulating,transcription)",positive regulation of gene transcription,INO_0000049,2,"ComK negatively controls the transcription of hag by stimulating the transcription of comF-flgM, thereby increasing the production of the FlgM antisigma factor that inhibits sigmaD activity."
73,ComK,hag,"negatively controls, transcription","dobj(controls, transcription); advmod(controls, negatively)",negative regulation of gene transcription,INO_0000042,2,"ComK negatively controls the transcription of hag by stimulating the transcription of comF-flgM, thereby increasing the production of the FlgM antisigma factor that inhibits sigmaD activity."
74,ComK,comF,"stimulating, transcription","dobj(stimulating,transcription)",positive regulation of gene transcription,INO_0000049,2,"ComK negatively controls the transcription of hag by stimulating the transcription of comF-flgM, thereby increasing the production of the FlgM antisigma factor that inhibits sigmaD activity."
76,FlgM,sigmaD,"inhibit, activity","dobj(inhibits,activity)",inhibition of protein activity,INO_0000070,2,"ComK negatively controls the transcription of hag by stimulating the transcription of comF-flgM, thereby increasing the production of the FlgM antisigma factor that inhibits sigmaD activity."
77,sigmaB,ykzA,"increase, expression, dependent",MORE THAN TWO KEYWORDS,positive regulation of gene expression,INO_0000038,3,"This stress-induced increase in ykzA expression is absolutely dependent on the alternative sigma factor sigmaB, which controls a large stationary-phase and stress regulon."
78,sigma X,CsbB,"contributes, expression","nmod(contributes,expression)",gene expression regulation,INO_0000044,2,"sigma X also contributes to the expression of CsbB, a putative membrane-bound glucosyl transferase that is partially controlled by the sigma B stress response sigma factor."
79,sigma B,CsbB,controlled,ONE WORD,controling,INO_0000057,1,"sigma X also contributes to the expression of CsbB, a putative membrane-bound glucosyl transferase that is partially controlled by the sigma B stress response sigma factor."
80,sigma B,nadE,"induced, dependent",-1,positive regulation of gene expression,INO_0000038,2,"Transcriptional studies showed that nadE is strongly induced in response to heat, ethanol and salt stress or after starvation for glucose in a sigma B-dependent manner."
81,sigma(B),YtxH,"induced, dependent",-1,positive regulation of gene expression,INO_0000038,2,"Furthermore, YtxH and YvyD seemed to be induced after phosphate starvation in the wild type in a sigma(B)-dependent manner and in the sigB mutant probably via sigma(H)."
82,sigma(B),YvyD,"induced, dependent",-1,positive regulation of gene expression,INO_0000038,2,"Furthermore, YtxH and YvyD seemed to be induced after phosphate starvation in the wild type in a sigma(B)-dependent manner and in the sigB mutant probably via sigma(H)."
83,sigma(H),YtxH,"induced, via",-1,induction,INO_0000122,2,"Furthermore, YtxH and YvyD seemed to be induced after phosphate starvation in the wild type in a sigma(B)-dependent manner and in the sigB mutant probably via sigma(H)."
84,sigma(H),YvyD,"induced, via",-1,induction,INO_0000122,2,"Furthermore, YtxH and YvyD seemed to be induced after phosphate starvation in the wild type in a sigma(B)-dependent manner and in the sigB mutant probably via sigma(H)."
86,ComK,sigmaD,"preventing, transcription","dobj(preventing,transcription)",inhibition of gene transcription,INO_0000046,2,"From these results we conclude that ComK negatively regulates degR expression by preventing sigmaD-driven transcription of degR, possibly through interaction with the control region."
87,ComK,degR,"negatively regulates, expression","dobj(regulates,expression)",negative regulation of gene expression,INO_0000039,2,"From these results we conclude that ComK negatively regulates degR expression by preventing sigmaD-driven transcription of degR, possibly through interaction with the control region."
88,ComK,degR,"preventing, transcription","dobj(preventing,transcription)",inhibition of gene transcription,INO_0000046,2,"From these results we conclude that ComK negatively regulates degR expression by preventing sigmaD-driven transcription of degR, possibly through interaction with the control region."
89,sigmaD,degR,"driven, transcription","amod(transcription, sigmaD-driven)",positive regulation of gene transcription,INO_0000049,2,"From these results we conclude that ComK negatively regulates degR expression by preventing sigmaD-driven transcription of degR, possibly through interaction with the control region."
90,sigmaD,degR,"transcription, driven","nsubjpass(driven,transcription)",positive regulation of gene transcription,INO_0000049,2,"We have shown previously that the transcription of degR is driven by an alternative sigma factor, sigmaD."
91,SpoIIID,cotC,binds,ONE WORD,direct interaction,MI_0407,1,"DNase I footprinting showed that SpoIIID binds strongly to two sites in the cotC promoter region, binds weakly to one site in the cotX promoter, and does not bind specifically to cotB."
92,SpoIIID,cotX,binds,ONE WORD,direct interaction,MI_0407,1,"DNase I footprinting showed that SpoIIID binds strongly to two sites in the cotC promoter region, binds weakly to one site in the cotX promoter, and does not bind specifically to cotB."
93,SpoIIID,cotB,bind,ONE WORD,direct interaction,MI_0407,1,"DNase I footprinting showed that SpoIIID binds strongly to two sites in the cotC promoter region, binds weakly to one site in the cotX promoter, and does not bind specifically to cotB."
94,sigma(K),cotB,transcription,ONE WORD,gene transcription,INO_0000173,1,"Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE."
96,sigma(K),cotX,transcription,ONE WORD,gene transcription,INO_0000173,1,"Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE."
97,GerE,cotB,"transcription, activated","nsubjpass(activated,transcription)",activation of gene transcription,INO_0000051,2,"Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE."
98,GerE,cotC,"transcription ,activated","nsubjpass(activated,transcription)",activation of gene transcription,INO_0000051,2,"Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE."
99,GerE,cotX,"transcription, activated","nsubjpass(activated,transcription)",activation of gene transcription,INO_0000051,2,"Transcription of the cotB, cotC, and cotX genes by final sigma(K) RNA polymerase is activated by a small, DNA-binding protein called GerE."
100,GerE,cot,"gene expression, action",-1,gene expression regulation,INO_0000044,2,"In vitro transcription experiments suggest that the differential pattern of cot gene expression results from the combined action of GerE and another transcription factor, SpoIIID."
102,GerE,sigma(K),"low concentration, activated, transcription",MORE THAN TWO KEYWORDS,regulation of transcription,INO_0000032,3,"A low concentration of GerE activated cotB transcription by final sigma(K) RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC."
103,GerE,cotB,"low concentration, activated, transcription",MORE THAN TWO KEYWORDS,activation of gene transcription by low level protein,INO_0000052,3,"A low concentration of GerE activated cotB transcription by final sigma(K) RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC."
104,GerE,cotX,"activate, transcription","amod(transcription, activate)",activation of gene transcription,INO_0000051,2,"A low concentration of GerE activated cotB transcription by final sigma(K) RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC."
106,sigma(K),cotB,"activated, transcription","dobj(activated,transcription)",activation of gene transcription,INO_0000051,2,"A low concentration of GerE activated cotB transcription by final sigma(K) RNA polymerase, whereas a higher concentration was needed to activate transcription of cotX or cotC."
107,SpoIIID,cotC,"repressed, transcription","dobj(repressed,transcription)",inhibition of gene transcription,INO_0000046,2,"SpoIIID at low concentration repressed cotC transcription, whereas a higher concentration only partially repressed cotX transcription and had little effect on cotB transcription."
108,SpoIIID,cotX,"repressed, transcription","dobj(repressed,transcription)",inhibition of gene transcription,INO_0000046,2,"SpoIIID at low concentration repressed cotC transcription, whereas a higher concentration only partially repressed cotX transcription and had little effect on cotB transcription."
109,SpoIIID,cotB,"repressed, transcription","dobj(repressed,transcription)",inhibition of gene transcription,INO_0000046,2,"SpoIIID at low concentration repressed cotC transcription, whereas a higher concentration only partially repressed cotX transcription and had little effect on cotB transcription."
110,sigmaA,kdgR,"dependent, promoter","amod(promoter, sigmaA-dependent)",promoter-based regulation of transcription,INO_0000079,2,Primer extension experiments and Northern blot analysis show that an active sigmaA-dependent promoter precedes kdgR and transcription is terminated at the putative p-independent terminator downstream of kdgT.
111,sigmaW,sigW,"dependent, promoter, precedes",MORE THAN TWO KEYWORDS,promoter-based regulation of transcription,INO_0000079,3,"A sigmaW-dependent promoter (PW) precedes sigW, demonstrating that this transcription factor is positively autoregulated."
112,sigma(A),sigX,"recognize, promoter ",-1,promoter-based regulation of transcription,INO_0000079,2,"We overproduced and purified sigma(X) from Escherichia coli and demonstrate that in vitro, both sigma(A) and sigma(X) holoenzymes recognize promoter elements within the sigX-ypuN control region."
113,sigma(A),ypuN,"recognize, promoter ",-1,promoter-based regulation of transcription,INO_0000079,2,"We overproduced and purified sigma(X) from Escherichia coli and demonstrate that in vitro, both sigma(A) and sigma(X) holoenzymes recognize promoter elements within the sigX-ypuN control region."
114,sigma(X),sigX,"recognize, promoter ",-1,promoter-based regulation of transcription,INO_0000079,2,"We overproduced and purified sigma(X) from Escherichia coli and demonstrate that in vitro, both sigma(A) and sigma(X) holoenzymes recognize promoter elements within the sigX-ypuN control region."
116,PhoP~P,tagA,"repress, transcription","dobj(repress,transcription)",inhibition of gene transcription,INO_0000046,2,The results indicate that PhoP~P is sufficient to repress the transcription of the tagA and tagD promoters and also to activate the transcription of the tuaA promoter.
117,PhoP~P,tagD,"repress, transcription","dobj(repress,transcription)",inhibition of gene transcription,INO_0000046,2,The results indicate that PhoP~P is sufficient to repress the transcription of the tagA and tagD promoters and also to activate the transcription of the tuaA promoter.
118,PhoP~P,tuaA,"activate, transcription","dobj(activate,transcription)",activation of gene transcription,INO_0000051,2,The results indicate that PhoP~P is sufficient to repress the transcription of the tagA and tagD promoters and also to activate the transcription of the tuaA promoter.
119,AraR,araE,"expression, promoter, negatively regulated",MORE THAN TWO KEYWORDS,negative regulation of transcription by binding to promoter,INO_0000074,3,"Transcriptional studies demonstrated that the expression from the araE promoter is induced by L-arabinose, repressed by glucose, and negatively regulated by AraR."
120,GerE,sigmaK,"stimulates, transcription, promoters",MORE THAN TWO KEYWORDS,positive regulation of transcription by binding to promoter,INO_0000072,3,"During endospore formation in Bacillus subtilis, the DNA binding protein GerE stimulates transcription from several promoters that are used by RNA polymerase containing sigmaK"
121,GerE,cotX,"binds, promoter",-1,regulation of transcription by binding to promoter,INO_0000071,2,"GerE binds to a site on one of these promoters, cotX, that overlaps its -35 region."
122,Spo0A,sigma(A),"stimulate, transcription, dependent",MORE THAN TWO KEYWORDS,positive regulation of gene transcription,INO_0000049,3,"However, the mutant was unable to stimulate transcription by final sigma(A)-RNA polymerase from the Spo0A-dependent spoIIG operon promoter."
123,Spo0A,spoIIG,"dependent, promoter","amod(promoter,Spo0A-dependent)",promoter-based regulation of transcription,INO_0000079,2,"However, the mutant was unable to stimulate transcription by final sigma(A)-RNA polymerase from the Spo0A-dependent spoIIG operon promoter."
124,sigma(A),spoIIG,stimulate transcription; ,"dobj(stimulate,transcription)",positive regulation of gene transcription,INO_0000049,2,"However, the mutant was unable to stimulate transcription by final sigma(A)-RNA polymerase from the Spo0A-dependent spoIIG operon promoter."
125,sigmaB,clpC,"regulated, relying on","xcomp(regulated, relying)",regulation,INO_0000157,2,The Bacillus subtilis clpC operon is regulated by two stress induction pathways relying on either sigmaB or a class III stress induction mechanism acting at a sigmaA-like promoter.
126,sigmaA,clpC,"regulated, relying on","xcomp(regulated, relying)",regulation,INO_0000157,2,The Bacillus subtilis clpC operon is regulated by two stress induction pathways relying on either sigmaB or a class III stress induction mechanism acting at a sigmaA-like promoter.
127,CtsR,clpC,"acts, repressor","nmod:as(acts,repressor)",gene expression inhibition,INO_0000085,2,"Our data demonstrate that the CtsR protein acts as a global repressor of the clpC operon, as well as other class III heat shock genes, by preventing unstressed transcription from either the sigmaB- or sigmaA-dependent promoter and might be inactivated or dissociate under inducing stress conditions."
128,sigmaB,clpC,"preventing, transcription","dobj(preventing,transcription)",inhibition of gene transcription,INO_0000046,2,"Our data demonstrate that the CtsR protein acts as a global repressor of the clpC operon, as well as other class III heat shock genes, by preventing unstressed transcription from either the sigmaB- or sigmaA-dependent promoter and might be inactivated or dissociate under inducing stress conditions."
129,sigmaA,clpC,"preventing, transcription","dobj(preventing,transcription)",inhibition of gene transcription,INO_0000046,2,"Our data demonstrate that the CtsR protein acts as a global repressor of the clpC operon, as well as other class III heat shock genes, by preventing unstressed transcription from either the sigmaB- or sigmaA-dependent promoter and might be inactivated or dissociate under inducing stress conditions."
130,sigmaB,yvyD,"dependent, drives, expression, promoter",MORE THAN TWO KEYWORDS,positive regulation of transcription by binding to promoter,INO_0000072,4,"The sigmaB-dependent promoter drives expression of yvyD under stress conditions and after glucose starvation, whereas a sigmaH-dependent promoter is responsible for yvyD transcription following amino acid limitation."
133,sigmaH,yvyD,"member of, regulons","nmod:of(member, regulons)",gene expression regulation,INO_0000044,2,"This indicates that the yvyD gene product, being a member of both the sigmaB and sigmaH regulons, might negatively regulate the activity of the sigmaL regulon."
134,yvyD,sigmaL,"negatively regulate, activity","dobj(regulate,activity)",negative regulation of protein activity,INO_0000067,2,"This indicates that the yvyD gene product, being a member of both the sigmaB and sigmaH regulons, might negatively regulate the activity of the sigmaL regulon."
136,sigma(K),ftsY,"expressed, controlled, promoter",MORE THAN TWO KEYWORDS,positive regulation of transcription by binding to promoter,INO_0000072,3,"Therefore, ftsY is solely expressed during sporulation from a sigma(K)- and GerE-controlled promoter that is located immediately upstream of ftsY inside the smc gene."
137,GerE,ftsY,"expressed, controlled, promoter",MORE THAN TWO KEYWORDS,positive regulation of transcription by binding to promoter,INO_0000072,3,"Therefore, ftsY is solely expressed during sporulation from a sigma(K)- and GerE-controlled promoter that is located immediately upstream of ftsY inside the smc gene."
138,sigmaB,gsiB,"member of, regulon","nmod:of(member, regulon)",gene expression regulation,INO_0000044,2,In that respect sigB is similar to the previously described gene gsiB which is also a member of the sigmaB regulon.
139,sigmaB,sigB,"member of, regulon","nmod:of(member, regulon)",gene expression regulation,INO_0000044,2,In that respect sigB is similar to the previously described gene gsiB which is also a member of the sigmaB regulon.
140,ClpX,sigmaH,"dependent, stimulation","amod(stimulation, ClpX-dependent)",positve regulation of protein activity,INO_0000104,2,"The addition of ClpX to in vitro transcription reactions resulted in the stimulation of RNAP holoenzyme activity, but sigmaH-RNAP was observed to be more sensitive to ClpX-dependent stimulation than sigmaA-RNAP."
141,ClpX,sigmaA,"dependent, stimulation","amod(stimulation, ClpX-dependent)",positve regulation of protein activity,INO_0000104,2,"The addition of ClpX to in vitro transcription reactions resulted in the stimulation of RNAP holoenzyme activity, but sigmaH-RNAP was observed to be more sensitive to ClpX-dependent stimulation than sigmaA-RNAP."
142,ClpX,sigmaH,"dependent, stimulation","amod(stimulation, ClpX-dependent)",positve regulation of protein activity,INO_0000104,2,"The addition of ClpX to in vitro transcription reactions resulted in the stimulation of RNAP holoenzyme activity, but sigmaH-RNAP was observed to be more sensitive to ClpX-dependent stimulation than sigmaA-RNAP."
