,docId,isValid,passage,passage_id
15,BioInfer.d1,True,"These data indicate that the [PROTEIN2] actin [/PROTEIN2]-binding domains in plant and animal [PROTEIN1] profilins [/PROTEIN1] are functionally highly conserved, although the overall sequence similarity is less than 25%.",BioInfer.d1.s4
16,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for E-cadherin, in 35 (66.0%) for [PROTEIN1] alpha-catenin [/PROTEIN1], in 20 (37.7%) for beta-catenin, and in 37 (69.8%) for [PROTEIN2] gamma-catenin [/PROTEIN2].",BioInfer.d2.s0
17,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for [PROTEIN2] E-cadherin [/PROTEIN2], in 35 (66.0%) for [PROTEIN1] alpha-catenin [/PROTEIN1], in 20 (37.7%) for beta-catenin, and in 37 (69.8%) for gamma-catenin.",BioInfer.d2.s0
18,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for E-cadherin, in 35 (66.0%) for [PROTEIN1] alpha-catenin [/PROTEIN1], in 20 (37.7%) for [PROTEIN2] beta-catenin [/PROTEIN2], and in 37 (69.8%) for gamma-catenin.",BioInfer.d2.s0
19,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for [PROTEIN2] E-cadherin [/PROTEIN2], in 35 (66.0%) for alpha-catenin, in 20 (37.7%) for beta-catenin, and in 37 (69.8%) for [PROTEIN1] gamma-catenin [/PROTEIN1].",BioInfer.d2.s0
20,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for E-cadherin, in 35 (66.0%) for alpha-catenin, in 20 (37.7%) for [PROTEIN2] beta-catenin [/PROTEIN2], and in 37 (69.8%) for [PROTEIN1] gamma-catenin [/PROTEIN1].",BioInfer.d2.s0
21,BioInfer.d2,False,"Abnormal immunoreactivity in the tumor tissue was observed in 18 patients (34.0%) for [PROTEIN1] E-cadherin [/PROTEIN1], in 35 (66.0%) for alpha-catenin, in 20 (37.7%) for [PROTEIN2] beta-catenin [/PROTEIN2], and in 37 (69.8%) for gamma-catenin.",BioInfer.d2.s0
22,BioInfer.d3,True,Absence of [PROTEIN2] alpha-syntrophin [/PROTEIN2] leads to structurally aberrant neuromuscular synapses deficient in [PROTEIN1] utrophin [/PROTEIN1].,BioInfer.d3.s0
23,BioInfer.d3,True,"Thus, [PROTEIN2] alpha-syntrophin [/PROTEIN2] has an important role in synapse formation and in the organization of utrophin, [PROTEIN1] acetylcholine receptor [/PROTEIN1], and acetylcholinesterase at the neuromuscular synapse.",BioInfer.d3.s1
24,BioInfer.d3,True,"Thus, [PROTEIN2] alpha-syntrophin [/PROTEIN2] has an important role in synapse formation and in the organization of utrophin, acetylcholine receptor, and [PROTEIN1] acetylcholinesterase [/PROTEIN1] at the neuromuscular synapse.",BioInfer.d3.s1
25,BioInfer.d3,True,"Thus, [PROTEIN2] alpha-syntrophin [/PROTEIN2] has an important role in synapse formation and in the organization of [PROTEIN1] utrophin [/PROTEIN1], acetylcholine receptor, and acetylcholinesterase at the neuromuscular synapse.",BioInfer.d3.s1
26,BioInfer.d3,False,"Thus, alpha-syntrophin has an important role in synapse formation and in the organization of utrophin, [PROTEIN1] acetylcholine receptor [/PROTEIN1], and [PROTEIN2] acetylcholinesterase [/PROTEIN2] at the neuromuscular synapse.",BioInfer.d3.s1
27,BioInfer.d3,False,"Thus, alpha-syntrophin has an important role in synapse formation and in the organization of [PROTEIN2] utrophin [/PROTEIN2], [PROTEIN1] acetylcholine receptor [/PROTEIN1], and acetylcholinesterase at the neuromuscular synapse.",BioInfer.d3.s1
28,BioInfer.d3,False,"Thus, alpha-syntrophin has an important role in synapse formation and in the organization of [PROTEIN2] utrophin [/PROTEIN2], acetylcholine receptor, and [PROTEIN1] acetylcholinesterase [/PROTEIN1] at the neuromuscular synapse.",BioInfer.d3.s1
29,BioInfer.d4,True,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and [PROTEIN1] alpha-catenin [/PROTEIN1] is not affected by the differential [PROTEIN2] calreticulin [/PROTEIN2] expression.",BioInfer.d4.s0
30,BioInfer.d4,True,"Abundance of [PROTEIN2] actin [/PROTEIN2], talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential [PROTEIN1] calreticulin [/PROTEIN1] expression.",BioInfer.d4.s0
31,BioInfer.d4,True,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal [PROTEIN2] alpha 5 integrins [/PROTEIN2]kinase, and alpha-catenin is not affected by the diffe[PROTEIN1] calreticulin [/PROTEIN1]eticulin expression.",BioInfer.d4.s0
32,BioInfer.d4,True,"Abundance of actin, talin, alpha 5 and beta 1 integrins, [PROTEIN2] pp125 [/PROTEIN2] focal adhesion kinase, and alpha-catenin is not affected by the differential [PROTEIN1] calreticulin [/PROTEIN1] expression.",BioInfer.d4.s0
33,BioInfer.d4,True,"Abundance of actin, talin, alpha 5 and [PROTEIN2] beta 1 integrins [/PROTEIN2], pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential [PROTEIN1] calreticulin [/PROTEIN1] expression.",BioInfer.d4.s0
34,BioInfer.d4,True,"Abundance of actin, [PROTEIN2] talin [/PROTEIN2], alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential [PROTEIN1] calreticulin [/PROTEIN1] expression.",BioInfer.d4.s0
35,BioInfer.d4,True,"Abundance of actin, talin, alpha 5 and beta 1 integrins, [PROTEIN1] pp125 [/PROTEIN1] [PROTEIN2] focal adhesion kinase [/PROTEIN2], and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
36,BioInfer.d4,False,"Abundance of [PROTEIN2] actin [/PROTEIN2], talin, alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and [PROTEIN1] alpha-catenin [/PROTEIN1] is not affected by the differential calreticulin expression.",BioInfer.d4.s0
37,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal [PROTEIN2] alpha 5 integrins [/PROTEIN2]kina[PROTEIN1] alpha-catenin [/PROTEIN1]-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
38,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, [PROTEIN2] pp125 [/PROTEIN2] focal adhesion kinase, and [PROTEIN1] alpha-catenin [/PROTEIN1] is not affected by the differential calreticulin expression.",BioInfer.d4.s0
39,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and [PROTEIN2] beta 1 integrins [/PROTEIN2], pp125 focal adhesion kinase, and [PROTEIN1] alpha-catenin [/PROTEIN1] is not affected by the differential calreticulin expression.",BioInfer.d4.s0
40,BioInfer.d4,False,"Abundance of actin, [PROTEIN2] talin [/PROTEIN2], alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and [PROTEIN1] alpha-catenin [/PROTEIN1] is not affected by the differential calreticulin expression.",BioInfer.d4.s0
41,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 [PROTEIN2] focal adhesion kinase [/PROTEIN2], and [PROTEIN1] alpha-catenin [/PROTEIN1] is not affected by the differential calreticulin expression.",BioInfer.d4.s0
42,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 [PROTEIN2] focal adhesion kinase [/PROTEIN2], and alpha-catenin is not affected by the differential [PROTEIN1] calreticulin [/PROTEIN1] expression.",BioInfer.d4.s0
43,BioInfer.d4,False,"Abundance of [PROTEIN1] actin [/PROTEIN1], talin, [PROTEIN2] alpha 5 integrins [/PROTEIN2] a[PROTEIN2] alpha 5 integrins [/PROTEIN2] integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
44,BioInfer.d4,False,"Abundance of [PROTEIN1] actin [/PROTEIN1], talin, alpha 5 and beta 1 integrins, [PROTEIN2] pp125 [/PROTEIN2] focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
45,BioInfer.d4,False,"Abundance of [PROTEIN1] actin [/PROTEIN1], talin, alpha 5 and [PROTEIN2] beta 1 integrins [/PROTEIN2], pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
46,BioInfer.d4,False,"Abundance of [PROTEIN1] actin [/PROTEIN1], [PROTEIN2] talin [/PROTEIN2], alpha 5 and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
47,BioInfer.d4,False,"Abundance of [PROTEIN1] actin [/PROTEIN1], talin, alpha 5 and beta 1 integrins, pp125 [PROTEIN2] focal adhesion kinase [/PROTEIN2], and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
48,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal [PROTEIN1] alpha 5 integrins [/PRO[PROTEIN2] pp125 [/PROTEIN2]]kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
49,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal [PROTEIN1] alpha[PROTEIN2] beta 1 integrins [/PROTEIN2]ROTEIN1]kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
50,BioInfer.d4,False,"Abundance of actin, [PROTEIN2] talin [/PROTEIN2], [PROTEIN1] alpha 5 [PROTEIN1] alpha 5 integrins [/PROTEIN1] [/PROTEIN1] and beta 1 integrins, pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
51,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and beta 1 integrins, pp125 focal [PROTEIN1] alpha 5 integrins [/PROTEIN1][PROTEIN2] focal adhesion kinase [/PROTEIN2]enin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
52,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and [PROTEIN2] beta 1 integrins [/PROTEIN2], [PROTEIN1] pp125 [/PROTEIN1] focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
53,BioInfer.d4,False,"Abundance of actin, [PROTEIN2] talin [/PROTEIN2], alpha 5 and beta 1 integrins, [PROTEIN1] pp125 [/PROTEIN1] focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
54,BioInfer.d4,False,"Abundance of actin, [PROTEIN2] talin [/PROTEIN2], alpha 5 and [PROTEIN1] beta 1 integrins [/PROTEIN1], pp125 focal adhesion kinase, and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
55,BioInfer.d4,False,"Abundance of actin, talin, alpha 5 and [PROTEIN1] beta 1 integrins [/PROTEIN1], pp125 [PROTEIN2] focal adhesion kinase [/PROTEIN2], and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
56,BioInfer.d4,False,"Abundance of actin, [PROTEIN1] talin [/PROTEIN1], alpha 5 and beta 1 integrins, pp125 [PROTEIN2] focal adhesion kinase [/PROTEIN2], and alpha-catenin is not affected by the differential calreticulin expression.",BioInfer.d4.s0
57,BioInfer.d5,True,Acanthamoeba actin and profilin can be cross-linked between glutamic acid 364 of [PROTEIN1] actin [/PROTEIN1] and lysine 115 of [PROTEIN2] profilin [/PROTEIN2].,BioInfer.d5.s0
58,BioInfer.d5,True,Acanthamoeba actin and profilin can be cross-linked between glutamic acid 364 of [PROTEIN1] actin [/PROTEIN1] and lysine 115 of [PROTEIN2] profilin [/PROTEIN2].,BioInfer.d5.s0
59,BioInfer.d5,False,Acanthamoeba actin and profilin can be cross-linked between glutamic acid 364 of [PROTEIN1] actin [/PROT[PROTEIN2] actin [/PROTEIN2] and lysine 115 of profilin.,BioInfer.d5.s0
60,BioInfer.d5,False,Acanthamoeba actin and profilin can be cross-linked between glutamic acid 364 of [PROTEIN1] actin [/PROTEIN1] and lysine 115 of [PROTEIN2] profilin [/PROTEIN2].,BioInfer.d5.s0
61,BioInfer.d5,False,Acanthamoeba actin and profilin can be cross-linked between glutamic acid 364 of [PROTEIN2] actin [/PROTEIN2] and lysine 115 of [PROTEIN1] profilin [/PROTEIN1].,BioInfer.d5.s0
62,BioInfer.d5,False,Acanthamoeba actin and profilin can be cross-linked between glutamic acid 364 of actin and lysine 115 of [PROTEIN1] profilin [/P[PROTEIN2] profilin [/PROTEIN2].,BioInfer.d5.s0
63,BioInfer.d5,True,Acanthamoeba [PROTEIN1] profilin [/PROTEIN1] was cross-linked to [PROTEIN2] actin [/PROTEIN2] via a zero-length isopeptide bond using carbodiimide.,BioInfer.d5.s1
64,BioInfer.d5,False,"Since the NH2 terminus of [PROTEIN1] profilin [/PROTEIN1] is blocked, Edman degradation gave only the sequence of the conjugated [PROTEIN2] actin [/PROTEIN2] CNBr fragment beginning with Trp-356.",BioInfer.d5.s2
65,BioInfer.d6,True,Acanthamoeba [PROTEIN2] profilin [/PROTEIN2] affects the mechanical properties of nonfilamentous [PROTEIN1] actin [/PROTEIN1].,BioInfer.d6.s0
66,BioInfer.d6,True,"In contrast, [PROTEIN1] profilin [/PROTEIN1] had little effect on the rigidity and viscosity of [PROTEIN2] actin [/PROTEIN2] filaments.",BioInfer.d6.s1
67,BioInfer.d6,False,"We speculate that nonfilamentous [PROTEIN2] actin [/PROTEIN2] and [PROTEIN1] profilin [/PROTEIN1], both of which form shear-sensitive structures, can be modeled as flocculant materials.",BioInfer.d6.s2
68,BioInfer.d7,True,"Acanthamoeba [PROTEIN2] profilin [/PROTEIN2] has similar but weaker effects on [PROTEIN1] muscle actin [/PROTEIN1], requiring 5 to 10 times more profilin than with amoeba actin.",BioInfer.d7.s0
69,BioInfer.d7,False,"Acanthamoeba [PROTEIN1] profilin [/PROTEIN1] has similar but weaker effects on [PROTEIN2] muscle actin [/PROTEIN2], requiring 5 to 10 times more profilin than with amoeba actin.",BioInfer.d7.s0
70,BioInfer.d7,False,"Acanthamoeba [PROTEIN1] profilin [/PROTEIN1] has similar but weaker effects on muscle actin, requiring 5 to 10 times more profilin than with amoeba [PROTEIN2] actin [/PROTEIN2].",BioInfer.d7.s0
71,BioInfer.d7,False,"Acanthamoeba [PROTEIN1] profilin [/P[PROTEIN2] profilin [/PROTEIN2] has similar but weaker effects on muscle actin, requiring 5 to 10 times more profilin than with amoeba actin.",BioInfer.d7.s0
72,BioInfer.d7,False,"Acanthamoeba profilin has similar but weaker effects on [PROTEIN1] muscle actin [/PROTEIN1], requiring 5 to 10 times more profilin than with amoeba [PROTEIN2] actin [/PROTEIN2].",BioInfer.d7.s0
73,BioInfer.d7,False,"Acanthamoeba [PROTEIN2] profilin [/PROTEIN2] has similar but weaker effects on muscle actin, requiring 5 to 10 times more profilin than with amoeba [PROTEIN1] actin [/PROTEIN1].",BioInfer.d7.s0
74,BioInfer.d7,True,Acanthamoeba [PROTEIN2] profilin [/PROTEIN2] strongly inhibits in a concentration-dependent fashion the rate and extent of Acanthamoeba [PROTEIN1] actin [/PROTEIN1] polymerization in 50 mM KCl.,BioInfer.d7.s1
75,BioInfer.d7,True,"Addition of profilin to polymerized [PROTEIN2] actin [/PROTEIN2] causes it to depolymerize until a new steady-state, dependent on [PROTEIN1] profilin [/PROTEIN1] concentration, is achieved.",BioInfer.d7.s2
76,BioInfer.d7,False,"Addition of profilin to polymerized actin causes it to depolymerize until a new steady-state, dependent on [PROTEIN1] profilin [/P[PROTEIN2] profilin [/PROTEIN2] concentration, is achieved.",BioInfer.d7.s2
77,BioInfer.d7,False,"Addition of profilin to polymerized [PROTEIN1] actin [/PROTEIN1] causes it to depolymerize until a new steady-state, dependent on [PROTEIN2] profilin [/PROTEIN2] concentration, is achieved.",BioInfer.d7.s2
78,BioInfer.d7,False,Mechanism of action of Acanthamoeba [PROTEIN1] profilin [/PROTEIN1]: demonstration of [PROTEIN2] actin [/PROTEIN2] species specificity and regulation by micromolar concentrations of MgCl2.,BioInfer.d7.s3
79,BioInfer.d7,True,"MgCl2 strongly inhibits these effects of [PROTEIN2] profilin [/PROTEIN2], most likely by binding to the high-affinity divalent cation site on the [PROTEIN1] actin [/PROTEIN1].",BioInfer.d7.s4
80,BioInfer.d8,False,"Accordingly, [PROTEIN2] beta-catenin [/PROTEIN2] is also found in these structures, again in the absence of [PROTEIN1] alpha-catenin [/PROTEIN1].",BioInfer.d8.s0
81,BioInfer.d8,True,"In addition to its presence in cell-cell adhesion sites, we have found [PROTEIN1] beta-catenin [/PROTEIN1], but not [PROTEIN2] alpha-catenin [/PROTEIN2], in the Z-discs of heart and skeletal striated muscles.",BioInfer.d8.s1
82,BioInfer.d9,True,"A chimera consisting of the alpha-catenin-binding region of beta-catenin linked to the amino terminus of [PROTEIN2] alpha-catenin 57-264 [/PROTEIN2] behaves as a monomer in solution, as expected, since [PROTEIN1] beta-catenin [/PROTEIN1] binding disrupts the alpha-catenin dimer.",BioInfer.d9.s0
83,BioInfer.d9,True,"A chimera consisting of the [PROTEIN2] alpha-catenin [/PROTEIN2]-binding region of beta-catenin linked to the amino terminus of alpha-catenin 57-264 behaves as a monomer in solution, as expected, since [PROTEIN1] beta-catenin [/PROTEIN1] binding disrupts the alpha-catenin dimer.",BioInfer.d9.s0
84,BioInfer.d9,True,"A chimera consisting of the [PROTEIN2] alpha-catenin [/PROTEIN2]-binding region of beta-catenin linked to the amino terminus of alpha-catenin 57-264 behaves as a monomer in solution, as expected, since [PROTEIN1] beta-catenin [/PROTEIN1] binding disrupts the alpha-catenin dimer.",BioInfer.d9.s0
85,BioInfer.d9,False,"A chimera consisting of the alpha-catenin-binding region of beta-catenin linked to the amino terminus of alpha-catenin 57-264 behaves as a monomer in solution, as expected, since [PROTEIN1] beta-catenin[PROTEIN2] beta-catenin [/PROTEIN2] binding disrupts the alpha-catenin dimer.",BioInfer.d9.s0
86,BioInfer.d9,False,"A chimera consisting of the [PROTEIN2] alpha-catenin [/PROTEIN2]-binding region of beta-catenin linked to the amino terminus of alpha-catenin 57-264 behaves as a monomer in solution, as expected, since [PROTEIN1] beta-catenin [/PROTEIN1] binding disrupts the alpha-catenin dimer.",BioInfer.d9.s0
87,BioInfer.d9,False,"A chimera consisting of the alpha-catenin-binding region of beta-catenin linked to the amino terminus of [PROTEIN2] alpha-catenin 57-264 [/PROTEIN2] behaves as a monomer in solution, as expected, since [PROTEIN1] beta-catenin [/PROTEIN1] binding disrupts the alpha-catenin dimer.",BioInfer.d9.s0
88,BioInfer.d9,False,"A chimera consisting of the [PROTEIN2] alpha-catenin [/PROTEIN2]-binding region of beta-catenin linked to the amino terminus of alpha-catenin 57-264 behaves as a monomer in solution, as expected, since [PROTEIN1] beta-catenin [/PROTEIN1] binding disrupts the alpha-catenin dimer.",BioInfer.d9.s0
89,BioInfer.d9,False,"A chimera consisting of the [PROTEIN2] alpha-catenin [/PROTEIN2]-binding region of beta-catenin linked to the amino terminus of [PROTEIN1] alpha-catenin 57-264 [/PROTEIN1] behaves as a monomer in solution, as expected, since beta-catenin binding disrupts the alpha-catenin dimer.",BioInfer.d9.s0
90,BioInfer.d9,False,"A chimera consisting of the [PROTEIN2] alpha-catenin [/PROTEIN2]-binding region of beta-catenin linked to the amino terminus of [PROTEIN1] alpha-catenin 57-264 [/PROTEIN1] behaves as a monomer in solution, as expected, since beta-catenin binding disrupts the alpha-catenin dimer.",BioInfer.d9.s0
91,BioInfer.d9,False,"A chimera consisting of the [PROTEIN1] alpha-cateni[PROTEIN2] alpha-catenin [/PROTEIN2]-binding region of beta-catenin linked to the amino terminus of alpha-catenin 57-264 behaves as a monomer in solution, as expected, since beta-catenin binding disrupts the alpha-catenin dimer.",BioInfer.d9.s0
92,BioInfer.d10,True,Acidic domain of the [PROTEIN2] phosphoprotein [/PROTEIN2] (P) of vesicular stomatitis virus differentially interacts with homologous and heterologous [PROTEIN1] nucleocapsid protein [/PROTEIN1] (N).,BioInfer.d10.s0
93,BioInfer.d10,True,Acidic domain of the phosphoprotein ([PROTEIN2] P [/PROTEIN2]) of vesicular stomatitis virus differentially interacts with homologous and heterologous [PROTEIN1] nucleocapsid protein [/PROTEIN1] (N).,BioInfer.d10.s0
94,BioInfer.d10,True,Acidic domain of the [PROTEIN1] phosphoprotein [/PROTEIN1] (P) of vesicular stomatitis virus differentially interacts with homologous and heterologous nucleocapsid protein ([PROTEIN2] N [/PROTEIN2]).,BioInfer.d10.s0
95,BioInfer.d10,True,Acidic domain of the phosphoprotein ([PROTEIN1] P [/PROTEIN1]) of vesicular stomatitis virus differentially interacts with homologous and heterologous nucleocapsid protein ([PROTEIN2] N [/PROTEIN2]).,BioInfer.d10.s0
96,BioInfer.d10,False,Acidic domain of the phosphoprotein (P) of vesicular stomatitis virus differentially interacts with homologous and heterologous [PROTEIN1] nucleocapsid protein [/PROTEIN1] ([PROTEIN2] N [/PROTEIN2]).,BioInfer.d10.s0
97,BioInfer.d10,False,Acidic domain of the [PROTEIN1] phosphoprotein [/PROTEIN1] ([PROTEIN2] P [/PROTEIN2]) of vesicular stomatitis virus differentially interacts with homologous and heterologous nucleocapsid protein (N).,BioInfer.d10.s0
98,BioInfer.d11,False,"A common feature of these [PROTEIN2] talin [/PROTEIN2]-positive domains is the deep membrane infoldings, where bundles of [PROTEIN1] actin [/PROTEIN1] filaments are inserted into the membrane.",BioInfer.d11.s0
99,BioInfer.d12,True,A core activity associated with the N terminus of the yeast RAD52 protein is revealed by [PROTEIN2] RAD51 [/PROTEIN2] overexpression suppression of C-terminal [PROTEIN1] rad52 [/PROTEIN1] truncation alleles.,BioInfer.d12.s0
100,BioInfer.d12,False,A core activity associated with the N terminus of the yeast [PROTEIN2] RAD52 [/PROTEIN2] protein is revealed by RAD51 overexpression suppression of C-terminal [PROTEIN1] rad52 [/PROTEIN1] truncation alleles.,BioInfer.d12.s0
101,BioInfer.d12,False,A core activity associated with the N terminus of the yeast [PROTEIN2] RAD52 [/PROTEIN2] protein is revealed by [PROTEIN1] RAD51 [/PROTEIN1] overexpression suppression of C-terminal rad52 truncation alleles.,BioInfer.d12.s0
102,BioInfer.d14,True,"[PROTEIN2] Actin-binding proteins [/PROTEIN2] such as profilin and [PROTEIN1] gelsolin [/PROTEIN1] bind to phosphatidylinositol (PI) 4,5-bisphosphate (PI 4,5-P2) and regulate the concentration of monomeric actin.",BioInfer.d14.s0
103,BioInfer.d14,True,"[PROTEIN2] Actin-binding proteins [/PROTEIN2] such as profilin and gelsolin bind to phosphatidylinositol (PI) 4,5-bisphosphate (PI 4,5-P2) and regulate the concentration of monomeric [PROTEIN1] actin [/PROTEIN1].",BioInfer.d14.s0
104,BioInfer.d14,True,"[PROTEIN1] Actin-binding proteins [/PROTEIN1] such as [PROTEIN2] profilin [/PROTEIN2] and gelsolin bind to phosphatidylinositol (PI) 4,5-bisphosphate (PI 4,5-P2) and regulate the concentration of monomeric actin.",BioInfer.d14.s0
105,BioInfer.d14,False,"Actin-binding proteins such as profilin and [PROTEIN1] gelsolin [/PROTEIN1] bind to phosphatidylinositol (PI) 4,5-bisphosphate (PI 4,5-P2) and regulate the concentration of monomeric [PROTEIN2] actin [/PROTEIN2].",BioInfer.d14.s0
106,BioInfer.d14,False,"Actin-binding proteins such as [PROTEIN2] profilin [/PROTEIN2] and [PROTEIN1] gelsolin [/PROTEIN1] bind to phosphatidylinositol (PI) 4,5-bisphosphate (PI 4,5-P2) and regulate the concentration of monomeric actin.",BioInfer.d14.s0
107,BioInfer.d14,False,"Actin-binding proteins such as [PROTEIN2] profilin [/PROTEIN2] and gelsolin bind to phosphatidylinositol (PI) 4,5-bisphosphate (PI 4,5-P2) and regulate the concentration of monomeric [PROTEIN1] actin [/PROTEIN1].",BioInfer.d14.s0
108,BioInfer.d14,False,"These studies suggest that [PROTEIN1] profilin [/PROTEIN1] and gelsolin may control the generation of 3-OH phosphorylated phosphoinositides, which in turn may regulate the [PROTEIN2] actin [/PROTEIN2] polymerization.",BioInfer.d14.s1
