,docId,isValid,passage,passage_id,e1,e2
20,HPRD50.d3,False,"IL-6 promotes coprecipitation of p85 with gp130, the signal-transducing component of the IL-6 receptor",HPRD50.d3.s2,IL-6,IL-6 receptor
21,HPRD50.d3,False,"IL-6 promotes coprecipitation of p85 with gp130, the signal-transducing component of the IL-6 receptor",HPRD50.d3.s2,gp130,IL-6 receptor
22,HPRD50.d4,False,"In solution, FGFR4ed formed complexes with acidic FGF (FGF-1) and basic FGF (FGF-2), both in the presence and absence of heparin",HPRD50.d4.s0,acidic FGF (FGF-1),basic FGF (FGF-2)
23,HPRD50.d4,True,Immobilized FGFR4 also bound FGF-8 besides FGF-1 and FGF-2,HPRD50.d4.s1,FGFR4,FGF-8
24,HPRD50.d4,True,Immobilized FGFR4 also bound FGF-8 besides FGF-1 and FGF-2,HPRD50.d4.s1,FGFR4,FGF-1
25,HPRD50.d4,True,Immobilized FGFR4 also bound FGF-8 besides FGF-1 and FGF-2,HPRD50.d4.s1,FGFR4,FGF-2
26,HPRD50.d4,False,Immobilized FGFR4 also bound FGF-8 besides FGF-1 and FGF-2,HPRD50.d4.s1,FGF-8,FGF-1
27,HPRD50.d4,False,Immobilized FGFR4 also bound FGF-8 besides FGF-1 and FGF-2,HPRD50.d4.s1,FGF-8,FGF-2
28,HPRD50.d4,False,Immobilized FGFR4 also bound FGF-8 besides FGF-1 and FGF-2,HPRD50.d4.s1,FGF-1,FGF-2
29,HPRD50.d5,True,Cytohesin-1 regulates beta-2 integrin-mediated adhesion through both ARF-GEF function and interaction with LFA-1,HPRD50.d5.s0,Cytohesin-1,LFA-1
30,HPRD50.d5,True,"Here we provide evidence of how cytohesin-1, an integrin-binding protein and guanine-nucleotide exchange factor (GEF) for ARF GTPases, regulates cell adhesion",HPRD50.d5.s1,cytohesin-1,ARF
31,HPRD50.d5,True,"Mutational analyses of the beta-2 cytoplasmic domain revealed that the adhesive function of LFA-1 depends on its interaction with cytohesin-1, unless the integrin is activated by exogenous divalent cations",HPRD50.d5.s2,LFA-1,cytohesin-1
32,HPRD50.d5,True,"Secondly, cytohesin-1 induces expression of an extracellular activation epitope of LFA-1, and the exchange factor function is not essential for this activity",HPRD50.d5.s3,cytohesin-1,LFA-1
33,HPRD50.d5,True,"In contrast, LFA-1-mediated cell adhesion and spreading on intercellular cell adhesion molecule 1 is strongly inhibited by a cytohesin-1 mutant, which fails to catalyze ARF GDP-GTP exchange in vitro",HPRD50.d5.s4,cytohesin-1,ARF
34,HPRD50.d5,True,"Thus, cytohesin-1 is involved in the activation of LFA-1, most probably through direct interaction with the integrin, and induces cell spreading by its ARF-GEF activity",HPRD50.d5.s5,cytohesin-1,LFA-1
35,HPRD50.d7,True,Suppression of rat thromboxane synthase gene transcription by peroxisome proliferator-activated receptor gamma in macrophages via an interaction with NRF2,HPRD50.d7.s0,peroxisome proliferator-activated receptor gamma,NRF2
36,HPRD50.d7,False,"Deletion analysis showed that the element responsible for the PPARgamma effect is located in a region containing the nuclear factor E2 (NF-E2)/AP-1 site (-98/-88), which was indicated to be the major promoter of the TXS gene",HPRD50.d7.s1,NF-E2,AP-1
37,HPRD50.d7,False,"By electrophoretic mobility shift assay using the NF-E2/AP-1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor NRF2 (NF-E2-related factor 2)",HPRD50.d7.s2,NF-E2,AP-1
38,HPRD50.d7,False,"By electrophoretic mobility shift assay using the NF-E2/AP-1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor NRF2 (NF-E2-related factor 2)",HPRD50.d7.s2,NF-E2,NRF2
39,HPRD50.d7,False,"By electrophoretic mobility shift assay using the NF-E2/AP-1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor NRF2 (NF-E2-related factor 2)",HPRD50.d7.s2,NF-E2,NF-E2-related factor 2
40,HPRD50.d7,False,"By electrophoretic mobility shift assay using the NF-E2/AP-1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor NRF2 (NF-E2-related factor 2)",HPRD50.d7.s2,AP-1,NRF2
41,HPRD50.d7,False,"By electrophoretic mobility shift assay using the NF-E2/AP-1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor NRF2 (NF-E2-related factor 2)",HPRD50.d7.s2,AP-1,NF-E2-related factor 2
42,HPRD50.d7,False,"By electrophoretic mobility shift assay using the NF-E2/AP-1 site and nuclear extracts from macrophages, we observed a specific protein-DNA complex formation, which was inhibited by a specific antibody against the transcription factor NRF2 (NF-E2-related factor 2)",HPRD50.d7.s2,NRF2,NF-E2-related factor 2
43,HPRD50.d7,False,"Finally, a direct interaction between PPARgamma and NRF2 was confirmed by glutathione S-transferase pull-down assay",HPRD50.d7.s3,NRF2,glutathione S-transferase
44,HPRD50.d8,False,"By constructing deletion mutants, we identified that amino acid residues 229-309 of Akt were involved in the binding to Hsp90 and amino acid residues 327-340 of Hsp90beta were involved in the binding to Akt",HPRD50.d8.s0,Hsp90,Hsp90beta
45,HPRD50.d9,False,"Here, we cloned and characterized a mouse orthologue of human KIAA1427 protein as an atypical Syt (named Syt XIII)",HPRD50.d9.s0,KIAA1427,Syt
46,HPRD50.d9,False,"Here, we cloned and characterized a mouse orthologue of human KIAA1427 protein as an atypical Syt (named Syt XIII)",HPRD50.d9.s0,KIAA1427,Syt XIII
47,HPRD50.d9,False,"Here, we cloned and characterized a mouse orthologue of human KIAA1427 protein as an atypical Syt (named Syt XIII)",HPRD50.d9.s0,Syt,Syt XIII
48,HPRD50.d9,False,"Subcellular fractionation and antibody-uptake experiments indicate that Syt XIII is indeed a type-I membrane protein, but, unlike other Syt isoforms, lacks an N-terminal extracellular domain",HPRD50.d9.s1,Syt XIII,Syt
49,HPRD50.d11,True,Direct interaction between the cytoplasmic tail of ADAM 12 and the Src homology 3 domain of p85alpha activates phosphatidylinositol 3-kinase in C2C12 cells,HPRD50.d11.s0,ADAM 12,p85alpha
50,HPRD50.d11,True,Direct interaction between the cytoplasmic tail of ADAM 12 and the Src homology 3 domain of p85alpha activates phosphatidylinositol 3-kinase in C2C12 cells,HPRD50.d11.s0,ADAM 12,phosphatidylinositol 3-kinase
51,HPRD50.d11,True,Direct interaction between the cytoplasmic tail of ADAM 12 and the Src homology 3 domain of p85alpha activates phosphatidylinositol 3-kinase in C2C12 cells,HPRD50.d11.s0,p85alpha,phosphatidylinositol 3-kinase
52,HPRD50.d11,True,"This suggests that transmembrane ADAM 12, by providing docking sites for the Src homology 3 domain of p85alpha, activates PI 3-kinase by mediating its recruitment to the membrane",HPRD50.d11.s1,ADAM 12,p85alpha
53,HPRD50.d12,True,AP180 binds to the C-terminal SH2 domain of phospholipase C-gamma1 and inhibits its enzymatic activity,HPRD50.d12.s0,AP180,phospholipase C-gamma1
54,HPRD50.d12,True,"In this report, we demonstrate the stable association of PLCgamma1 with AP180 in a clathrin-coated vesicle complex, which not only binds to the carboxyl-terminal SH2 domain of PLCgamma1, but also inhibits its enzymatic activity in a dose-dependent manner",HPRD50.d12.s1,PLCgamma1,AP180
55,HPRD50.d12,True,"In this report, we demonstrate the stable association of PLCgamma1 with AP180 in a clathrin-coated vesicle complex, which not only binds to the carboxyl-terminal SH2 domain of PLCgamma1, but also inhibits its enzymatic activity in a dose-dependent manner",HPRD50.d12.s1,AP180,PLCgamma1
56,HPRD50.d12,False,"In this report, we demonstrate the stable association of PLCgamma1 with AP180 in a clathrin-coated vesicle complex, which not only binds to the carboxyl-terminal SH2 domain of PLCgamma1, but also inhibits its enzymatic activity in a dose-dependent manner",HPRD50.d12.s1,PLCgamma1,PLCgamma1
57,HPRD50.d13,True,Here we demonstrate colocalization and direct interaction between CLIP-170 and LIS1,HPRD50.d13.s0,CLIP-170,LIS1
58,HPRD50.d13,True,"Overexpression of CLIP-170 results in a zinc finger-dependent localization of a phospho-LIS1 isoform and dynactin to MT bundles, raising the possibility that CLIP-170 and LIS1 regulate dynein/dynactin binding to MTs",HPRD50.d13.s1,CLIP-170,phospho-LIS1
59,HPRD50.d13,False,"Overexpression of CLIP-170 results in a zinc finger-dependent localization of a phospho-LIS1 isoform and dynactin to MT bundles, raising the possibility that CLIP-170 and LIS1 regulate dynein/dynactin binding to MTs",HPRD50.d13.s1,CLIP-170,CLIP-170
60,HPRD50.d13,False,"Overexpression of CLIP-170 results in a zinc finger-dependent localization of a phospho-LIS1 isoform and dynactin to MT bundles, raising the possibility that CLIP-170 and LIS1 regulate dynein/dynactin binding to MTs",HPRD50.d13.s1,CLIP-170,LIS1
61,HPRD50.d13,False,"Overexpression of CLIP-170 results in a zinc finger-dependent localization of a phospho-LIS1 isoform and dynactin to MT bundles, raising the possibility that CLIP-170 and LIS1 regulate dynein/dynactin binding to MTs",HPRD50.d13.s1,phospho-LIS1,CLIP-170
62,HPRD50.d13,False,"Overexpression of CLIP-170 results in a zinc finger-dependent localization of a phospho-LIS1 isoform and dynactin to MT bundles, raising the possibility that CLIP-170 and LIS1 regulate dynein/dynactin binding to MTs",HPRD50.d13.s1,phospho-LIS1,LIS1
63,HPRD50.d13,False,"Overexpression of CLIP-170 results in a zinc finger-dependent localization of a phospho-LIS1 isoform and dynactin to MT bundles, raising the possibility that CLIP-170 and LIS1 regulate dynein/dynactin binding to MTs",HPRD50.d13.s1,CLIP-170,LIS1
64,HPRD50.d13,True,"This work suggests that LIS1 is a regulated adapter between CLIP-170 and cytoplasmic dynein at sites involved in cargo-MT loading, and/or in the control of MT dynamics",HPRD50.d13.s2,LIS1,CLIP-170
65,HPRD50.d14,False,Megalin and cubilin: multifunctional endocytic receptors,HPRD50.d14.s0,Megalin,cubilin
66,HPRD50.d14,True,Megalin and cubilin are two structurally different endocytic receptors that interact to serve such functions,HPRD50.d14.s1,Megalin,cubilin
67,HPRD50.d16,True,GADD45b and GADD45g are cdc2/cyclinB1 kinase inhibitors with a role in S and G2/M cell cycle checkpoints induced by genotoxic stress,HPRD50.d16.s0,GADD45b,cdc2
68,HPRD50.d16,True,GADD45b and GADD45g are cdc2/cyclinB1 kinase inhibitors with a role in S and G2/M cell cycle checkpoints induced by genotoxic stress,HPRD50.d16.s0,GADD45g,cdc2
69,HPRD50.d16,False,GADD45b and GADD45g are cdc2/cyclinB1 kinase inhibitors with a role in S and G2/M cell cycle checkpoints induced by genotoxic stress,HPRD50.d16.s0,GADD45b,GADD45g
70,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,Gadd45a,Gadd45
71,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,Gadd45a,Gadd45b
72,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,Gadd45a,MyD118
73,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,Gadd45a,Gadd45g
74,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,Gadd45a,CR6
75,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,Gadd45,Gadd45b
76,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,Gadd45,MyD118
77,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,Gadd45,Gadd45g
78,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,Gadd45,CR6
79,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,Gadd45b,MyD118
80,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,Gadd45b,Gadd45g
81,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,Gadd45b,CR6
82,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,MyD118,Gadd45g
83,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,MyD118,CR6
84,HPRD50.d16,False,"Gadd45a (Gadd45), Gadd45b (MyD118), and Gadd45g (CR6) constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",HPRD50.d16.s1,Gadd45g,CR6
85,HPRD50.d16,True,Recent evidence has implicated Gadd45a in inhibition of cdc2/cyclinB1 kinase and in G2/M cell cycle arrest,HPRD50.d16.s2,Gadd45a,cdc2
86,HPRD50.d16,True,"Yet, whether Gadd45b and/or Gadd45g function as inhibitors of cdc2/cyclinB1 kinase and/or play a role in G2/M cell cycle arrest has not been fully established",HPRD50.d16.s3,Gadd45b,cdc2
87,HPRD50.d16,True,"Yet, whether Gadd45b and/or Gadd45g function as inhibitors of cdc2/cyclinB1 kinase and/or play a role in G2/M cell cycle arrest has not been fully established",HPRD50.d16.s3,Gadd45g,cdc2
88,HPRD50.d16,False,"Yet, whether Gadd45b and/or Gadd45g function as inhibitors of cdc2/cyclinB1 kinase and/or play a role in G2/M cell cycle arrest has not been fully established",HPRD50.d16.s3,Gadd45b,Gadd45g
89,HPRD50.d16,True,"In this work, we show that Gadd45b and Gadd45g specifically interact with the Cdk1/CyclinB1 complex, but not with other Cdk/Cyclin complexes, in vitro and in vivo",HPRD50.d16.s4,Gadd45b,Cdk1
90,HPRD50.d16,True,"In this work, we show that Gadd45b and Gadd45g specifically interact with the Cdk1/CyclinB1 complex, but not with other Cdk/Cyclin complexes, in vitro and in vivo",HPRD50.d16.s4,Gadd45g,Cdk1
91,HPRD50.d16,False,"In this work, we show that Gadd45b and Gadd45g specifically interact with the Cdk1/CyclinB1 complex, but not with other Cdk/Cyclin complexes, in vitro and in vivo",HPRD50.d16.s4,Gadd45b,Gadd45g
92,HPRD50.d16,True,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",HPRD50.d16.s5,Gadd45b,Cdk1
93,HPRD50.d16,True,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",HPRD50.d16.s5,Gadd45b,Cdk1
94,HPRD50.d16,True,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",HPRD50.d16.s5,Gadd45g,Cdk1
95,HPRD50.d16,True,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",HPRD50.d16.s5,Gadd45g,Cdk1
96,HPRD50.d16,True,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",HPRD50.d16.s5,GADD45a,Cdk1
97,HPRD50.d16,True,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",HPRD50.d16.s5,GADD45a,Cdk1
98,HPRD50.d16,False,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",HPRD50.d16.s5,Gadd45b,Gadd45g
99,HPRD50.d16,False,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",HPRD50.d16.s5,Gadd45b,GADD45a
100,HPRD50.d16,False,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",HPRD50.d16.s5,Gadd45g,GADD45a
101,HPRD50.d16,False,"Data also has been obtained that Gadd45b and Gadd45g, as well as GADD45a, interact with both Cdk1 and cyclinB1, resulting in inhibition of the kinase activity of the Cdk1/cyclinB1 complex",HPRD50.d16.s5,Cdk1,Cdk1
102,HPRD50.d16,True,"Inhibition of Cdk1/cyclinB1 kinase activity by Gadd45b and Gadd45a was found to involve disruption of the complex, whereas Gadd45g did not disrupt the complex",HPRD50.d16.s6,Cdk1,Gadd45b
103,HPRD50.d16,True,"Inhibition of Cdk1/cyclinB1 kinase activity by Gadd45b and Gadd45a was found to involve disruption of the complex, whereas Gadd45g did not disrupt the complex",HPRD50.d16.s6,Cdk1,Gadd45a
104,HPRD50.d16,False,"Inhibition of Cdk1/cyclinB1 kinase activity by Gadd45b and Gadd45a was found to involve disruption of the complex, whereas Gadd45g did not disrupt the complex",HPRD50.d16.s6,Cdk1,Gadd45g
105,HPRD50.d16,False,"Inhibition of Cdk1/cyclinB1 kinase activity by Gadd45b and Gadd45a was found to involve disruption of the complex, whereas Gadd45g did not disrupt the complex",HPRD50.d16.s6,Gadd45b,Gadd45a
106,HPRD50.d16,False,"Inhibition of Cdk1/cyclinB1 kinase activity by Gadd45b and Gadd45a was found to involve disruption of the complex, whereas Gadd45g did not disrupt the complex",HPRD50.d16.s6,Gadd45b,Gadd45g
107,HPRD50.d16,False,"Inhibition of Cdk1/cyclinB1 kinase activity by Gadd45b and Gadd45a was found to involve disruption of the complex, whereas Gadd45g did not disrupt the complex",HPRD50.d16.s6,Gadd45a,Gadd45g
108,HPRD50.d18,True,The transmembrane receptor protein tyrosine phosphatase DEP1 interacts with p120(ctn),HPRD50.d18.s0,receptor protein tyrosine phosphatase,p120(ctn)
109,HPRD50.d18,True,The transmembrane receptor protein tyrosine phosphatase DEP1 interacts with p120(ctn),HPRD50.d18.s0,DEP1,p120(ctn)
110,HPRD50.d18,False,The transmembrane receptor protein tyrosine phosphatase DEP1 interacts with p120(ctn),HPRD50.d18.s0,receptor protein tyrosine phosphatase,DEP1
111,HPRD50.d18,False,"The receptor-like protein tyrosine phosphatase DEP1, also known as CD148, is expressed predominantly in epithelial cells, in a variety of tumor cell lines, and in lymphocytes",HPRD50.d18.s1,receptor-like protein tyrosine phosphatase,DEP1
112,HPRD50.d18,False,"The receptor-like protein tyrosine phosphatase DEP1, also known as CD148, is expressed predominantly in epithelial cells, in a variety of tumor cell lines, and in lymphocytes",HPRD50.d18.s1,receptor-like protein tyrosine phosphatase,CD148
113,HPRD50.d18,False,"The receptor-like protein tyrosine phosphatase DEP1, also known as CD148, is expressed predominantly in epithelial cells, in a variety of tumor cell lines, and in lymphocytes",HPRD50.d18.s1,DEP1,CD148
114,HPRD50.d18,True,DEP1 also interacted with other members of the catenin gene family including beta-catenin and gamma-catenin,HPRD50.d18.s2,DEP1,beta-catenin
115,HPRD50.d18,False,"The interaction with p120(ctn) is likely to be direct, as the interaction occurs in K562 cells lacking functional adherens junctions and E-cadherin expression",HPRD50.d18.s3,p120(ctn),E-cadherin
116,HPRD50.d18,False,"Catalytic domains of the tyrosine phosphatases PTP-PEST, CD45, and PTPbeta did not interact with proteins of the catenin family to detectable levels, suggesting that the interaction of DEP1 with these proteins is specific",HPRD50.d18.s4,PTP-PEST,CD45
117,HPRD50.d18,False,"Catalytic domains of the tyrosine phosphatases PTP-PEST, CD45, and PTPbeta did not interact with proteins of the catenin family to detectable levels, suggesting that the interaction of DEP1 with these proteins is specific",HPRD50.d18.s4,PTP-PEST,DEP1
118,HPRD50.d18,False,"Catalytic domains of the tyrosine phosphatases PTP-PEST, CD45, and PTPbeta did not interact with proteins of the catenin family to detectable levels, suggesting that the interaction of DEP1 with these proteins is specific",HPRD50.d18.s4,CD45,DEP1
119,HPRD50.d19,True,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A (MEF2A) and thyroid hormone receptor-retinoid X receptor,HPRD50.d19.s0,p300,MEF2A
120,HPRD50.d19,True,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A (MEF2A) and thyroid hormone receptor-retinoid X receptor,HPRD50.d19.s0,cAMP-response-element-binding-protein,MEF2A
121,HPRD50.d19,True,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A (MEF2A) and thyroid hormone receptor-retinoid X receptor,HPRD50.d19.s0,CREB,MEF2A
122,HPRD50.d19,False,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A (MEF2A) and thyroid hormone receptor-retinoid X receptor,HPRD50.d19.s0,p300,cAMP-response-element-binding-protein
123,HPRD50.d19,False,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A (MEF2A) and thyroid hormone receptor-retinoid X receptor,HPRD50.d19.s0,p300,CREB
124,HPRD50.d19,False,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A (MEF2A) and thyroid hormone receptor-retinoid X receptor,HPRD50.d19.s0,cAMP-response-element-binding-protein,CREB
125,HPRD50.d19,False,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) interacting with transcription factors is able to increase their activity on target gene promoters,HPRD50.d19.s1,p300,cAMP-response-element-binding-protein
126,HPRD50.d19,False,p300/cAMP-response-element-binding-protein ('CREB')-binding protein (CBP) interacting with transcription factors is able to increase their activity on target gene promoters,HPRD50.d19.s1,p300,CREB
